BOOKSELLER_CATEGORY,AUTHOR,TITLE,SERIES,VOLUME,PUB_DATE,EXTENT,CLOTH_ISBN,CLOTH_PRICE,PAPER_ISBN,PAPER_PRICE,ELECTRONIC_ISBN,ELECTRONIC_PRICE,URL
EDUC Primary and Secondary Education,Aaronsohn E,Going Against the Grain,,,3/30/1996,200 pages,978-0-8039-6297-2,£46.99,978-0-8039-6298-9,£22.99,,,http://www.uk.sagepub.com/books/Book5315
CRIM Criminology,Aas K,Globalization and Crime: Second Edition,Key Approaches to Criminology,,4/17/2013,280 pages,978-1-4462-0197-8,£87.00,978-1-4462-0198-5,£27.99,978-1-4462-8148-2,£21.99,http://www.uk.sagepub.com/books/Book236814
CRIM Criminology,Aas K,Globalization and Crime,SAGE Library of Criminology,,10/22/2013,1304 pages,978-1-4462-5726-5,£475.00,,,,,http://www.uk.sagepub.com/books/Book239416
SOCT Social Theory,Abbinnett R,Truth and Social Science,,,1/28/1998,208 pages,978-0-8039-7592-7,£135.00,978-0-8039-7593-4,£36.99,,,http://www.uk.sagepub.com/books/Book205102
ENVI Environmental Studies,Abbinnett R,Culture and Identity,Politics and Culture series,,7/18/2003,240 pages,978-0-7619-6518-3,£119.00,978-0-7619-6519-0,£33.99,978-1-4462-6473-7,£26.99,http://www.uk.sagepub.com/books/Book209716
"SOCW Social Welfare, Family Studies & Gerontology",Abbott C & Taylor P,Action Learning in Social Work,,,8/12/2013,176 pages,978-1-4462-7534-4,£71.00,978-1-4462-7535-1,£23.99,978-1-4462-8711-8,£18.99,http://www.uk.sagepub.com/books/Book241749
EDUT Tertiary Education,Abbott I et al,Education Policy,,,11/12/2012,224 pages,978-0-85702-576-0,£80.00,978-0-85702-577-7,£26.99,978-1-4462-7156-8,£21.99,http://www.uk.sagepub.com/books/Book235688
,Abbott K et al,The ANNALS of the American Academy of Political and Social Science,The ANNALS of the American Academy of Political and Social Science Series,Volume 670,5/31/2017,179 pages,978-1-5063-9010-9,,978-1-5063-9011-6,,,,http://www.uk.sagepub.com/books/Book258292
EDUC Primary and Secondary Education,Abdal-Haqq I,Professional Development Schools,Critical Issues in Teacher Education Series,,1/30/1998,96 pages,978-0-8039-6349-8,£34.00,978-0-8039-6350-4,£15.99,,,http://www.uk.sagepub.com/books/Book5160
STAT Statistics and Mathematical Methods,Abdi H et al,Neural Networks,Quantitative Applications in the Social Sciences,Volume 124,3/30/1999,96 pages,,,978-0-7619-1440-2,£17.99,,,http://www.uk.sagepub.com/books/Book9185
EDUC Primary and Secondary Education,Abedi J & Faltis C,Teacher Assessment and the Assessment of Students with Diverse Learning Needs,Review of Research in Education,Volume 39,3/15/2015,,,,978-1-4739-2671-4,£55.00,,,http://www.uk.sagepub.com/books/Book246268
COMM Communication and Media Studies,Abercrombie N & Longhurst B,Audiences,,,4/28/1998,208 pages,978-0-8039-8961-0,£111.00,978-0-8039-8962-7,£36.99,978-1-4462-6455-3,£29.99,http://www.uk.sagepub.com/books/Book204188
ENVI Environmental Studies,Abernathy D,Using Geodata and Geolocation in the Social Sciences,,,10/19/2016,344 pages,978-1-4739-0817-8,£85.00,978-1-4739-0818-5,£27.99,978-1-4739-6579-9,£21.99,http://www.uk.sagepub.com/books/Book244150
EDUC Primary and Secondary Education,Abernathy R & Reardon M,Hot Tips for Facilitators,,,1/1/2003,128 pages,,,978-1-56976-150-2,£21.99,,,http://www.uk.sagepub.com/books/Book232712
